Date,MSFT,GOOG,AAPL,AMZN,META,TSLA,NVDA
2024-03-07,409.1400146484375,135.24000549316406,169.0,176.82000732421875,512.1900024414062,178.64999389648438,926.6900024414062
2024-03-08,406.2200012207031,136.2899932861328,170.72999572753906,175.35000610351562,505.95001220703125,175.33999633789062,875.280029296875
2024-03-11,404.5199890136719,138.94000244140625,172.75,171.9600067138672,483.5899963378906,177.77000427246094,857.739990234375
2024-03-12,415.2799987792969,139.6199951171875,173.22999572753906,175.38999938964844,499.75,177.5399932861328,919.1300048828125
2024-03-13,415.1000061035156,140.77000427246094,171.1300048828125,176.55999755859375,495.57000732421875,169.47999572753906,908.8800048828125
2024-03-14,425.2200012207031,144.33999633789062,173.0,178.75,491.8299865722656,162.5,879.4400024414062
2024-03-15,416.4200134277344,142.1699981689453,172.6199951171875,174.4199981689453,484.1000061035156,163.57000732421875,878.3699951171875
2024-03-18,417.32000732421875,148.47999572753906,173.72000122070312,174.47999572753906,496.9800109863281,173.8000030517578,884.5499877929688
2024-03-19,421.4100036621094,147.9199981689453,176.0800018310547,175.89999389648438,496.239990234375,171.32000732421875,893.97998046875
2024-03-20,425.2300109863281,149.67999267578125,178.6699981689453,178.14999389648438,505.5199890136719,175.66000366210938,903.719970703125
2024-03-21,429.3699951171875,148.74000549316406,171.3699951171875,178.14999389648438,507.760009765625,172.82000732421875,914.3499755859375
2024-03-22,428.739990234375,151.77000427246094,172.27999877929688,178.8699951171875,509.5799865722656,170.8300018310547,942.8900146484375
2024-03-25,422.8599853515625,151.14999389648438,170.85000610351562,179.7100067138672,503.0199890136719,172.6300048828125,950.02001953125
2024-03-26,421.6499938964844,151.6999969482422,169.7100067138672,178.3000030517578,495.8900146484375,177.6699981689453,925.6099853515625
2024-03-27,421.42999267578125,151.94000244140625,173.30999755859375,179.8300018310547,493.8599853515625,179.8300018310547,902.5
2024-03-28,420.7200012207031,152.25999450683594,171.47999572753906,180.3800048828125,485.5799865722656,175.7899932861328,903.5599975585938
2024-04-01,424.57000732421875,156.5,170.02999877929688,180.97000122070312,491.3500061035156,175.22000122070312,903.6300048828125
2024-04-02,421.44000244140625,155.8699951171875,168.83999633789062,180.69000244140625,497.3699951171875,166.6300048828125,894.52001953125
2024-04-03,420.45001220703125,156.3699951171875,169.64999389648438,182.41000366210938,506.739990234375,168.3800048828125,889.6400146484375
2024-04-04,417.8800048828125,151.94000244140625,168.82000732421875,180.0,510.9200134277344,171.11000061035156,859.0499877929688
2024-04-05,425.5199890136719,153.94000244140625,169.5800018310547,185.07000732421875,527.3400268554688,164.89999389648438,880.0800170898438
2024-04-08,424.5899963378906,156.13999938964844,168.4499969482422,185.19000244140625,519.25,172.97999572753906,871.3300170898438
2024-04-09,426.2799987792969,158.13999938964844,169.6699981689453,185.6699981689453,516.9000244140625,176.8800048828125,853.5399780273438
2024-04-10,423.260009765625,157.66000366210938,167.77999877929688,185.9499969482422,519.8300170898438,171.75999450683594,870.3900146484375
2024-04-11,427.92999267578125,160.7899932861328,175.0399932861328,189.0500030517578,523.1599731445312,174.60000610351562,906.1599731445312
2024-04-12,421.8999938964844,159.19000244140625,176.5500030517578,186.1300048828125,511.8999938964844,171.0500030517578,881.8599853515625
2024-04-15,413.6400146484375,156.3300018310547,172.69000244140625,183.6199951171875,500.2300109863281,161.47999572753906,860.010009765625
2024-04-16,414.5799865722656,156.0,169.3800048828125,183.32000732421875,499.760009765625,157.11000061035156,874.1500244140625
2024-04-17,411.8399963378906,156.8800048828125,168.0,181.27999877929688,494.1700134277344,155.4499969482422,840.3499755859375
2024-04-18,404.2699890136719,157.4600067138672,167.0399932861328,179.22000122070312,501.79998779296875,149.92999267578125,846.7100219726562
2024-04-19,399.1199951171875,155.72000122070312,165.0,174.6300048828125,481.07000732421875,147.0500030517578,762.0
2024-04-22,400.9599914550781,157.9499969482422,165.83999633789062,177.22999572753906,481.7300109863281,142.0500030517578,795.1799926757812
2024-04-23,407.57000732421875,159.9199981689453,166.89999389648438,179.5399932861328,496.1000061035156,144.67999267578125,824.22998046875
2024-04-24,409.05999755859375,161.10000610351562,169.02000427246094,176.58999633789062,493.5,162.1300048828125,796.77001953125
2024-04-25,399.0400085449219,157.9499969482422,169.88999938964844,173.6699981689453,441.3800048828125,170.17999267578125,826.3200073242188
2024-04-26,406.32000732421875,173.69000244140625,169.3000030517578,179.6199951171875,443.2900085449219,168.2899932861328,877.3499755859375
